neuropil,num_nodes,num_edges,reciprocity,connection_density,average_edge_strength,global_clustering,diameter,mean_shortest_path_length,n_nodes_lcc,n_edges_lcc
AL_L,3616,140046,0.427902261,0.010713564,5.430658498,0.141050182,7,2.194122728,2954,137360
AL_R,3739,140612,0.417048332,0.010060687,5.173463147,0.140109043,9,2.395491393,3166,137609
AME_L,664,3942,0.183155758,0.00895437,2.790715373,0.293977597,10,3.447566998,269,3031
AME_R,720,3881,0.185003865,0.007496909,3.22700335,0.311666686,13,3.86913935,248,2904
AMMC_L,1667,31842,0.146033541,0.011465414,3.07804158,0.198630666,8,2.901002406,1161,28873
AMMC_R,1937,32689,0.129646058,0.008716992,3.113983297,0.173467445,13,3.114219606,1257,28970
AOTU_L,1700,46924,0.269073395,0.016246235,3.88882022,0.288660002,8,2.962821259,1406,45277
AOTU_R,1854,51272,0.243914807,0.014924339,4.205082696,0.269592468,9,3.00912039,1476,48528
ATL_L,1672,16961,0.106361653,0.006070699,2.224279229,0.178155118,11,3.529709624,1037,13856
ATL_R,1606,15034,0.110017294,0.00583249,2.244711986,0.187286034,10,3.594415527,942,11795
AVLP_L,5022,368725,0.22772527,0.014622972,4.095249847,0.243771471,7,2.540683121,4215,365701
AVLP_R,6181,452236,0.213525681,0.011839079,4.424364712,0.234016346,11,2.686849499,5310,447775
BU_L,334,1346,0.147102526,0.012101922,3.043833581,0.212438759,10,3.57045045,75,306
BU_R,422,1989,0.226244344,0.011195416,5.042232278,0.275151664,9,2.985772358,124,946
CAN_L,606,5303,0.052046012,0.014464174,2.520837262,0.136532618,10,3.448304123,309,3218
CAN_R,1049,6774,0.046353705,0.006161812,2.294065545,0.111661568,19,4.764891349,470,3504
CRE_L,5813,132535,0.172859999,0.003922877,2.431335119,0.104135547,10,3.132961868,4950,127255
CRE_R,5769,133999,0.153911596,0.004026946,2.555504146,0.116114333,9,3.134577339,4893,127961
EB,1420,45030,0.580590717,0.022347616,6.278347768,0.511485642,10,2.130011026,499,43019
EPA_L,1816,24044,0.109216437,0.007294814,2.421560472,0.153156653,11,3.481148238,1322,21224
EPA_R,1615,19048,0.100167997,0.007307576,2.504094918,0.16682204,9,3.590075918,1087,16003
FB,3875,226311,0.354291219,0.015075591,3.966956975,0.31937612,16,3.319421874,2791,223184
FLA_L,2023,35957,0.107851044,0.008790355,2.769335595,0.162382032,9,3.32125053,1505,30852
FLA_R,2196,43385,0.113080558,0.009000627,2.97690446,0.170526423,9,3.273894187,1650,37444
GA_L,500,3869,0.215042647,0.015507014,4.100025846,0.350116447,9,3.133031866,248,2955
GA_R,386,2476,0.250403877,0.016661059,4.153069467,0.362717702,9,3.232150143,172,1854
GNG,11250,544508,0.185697914,0.004302668,4.982870775,0.194436752,10,3.203283817,9794,530404
GOR_L,1956,30605,0.12841039,0.008003441,2.491684365,0.167602341,9,3.154237315,1376,27708
GOR_R,1979,30751,0.118305096,0.007855741,2.500081298,0.161043358,8,3.149514305,1385,27210
IB_L,3176,56460,0.077364506,0.00559908,2.517995041,0.121934589,10,3.28885798,2231,48994
IB_R,3135,60487,0.085638236,0.006156381,2.615686015,0.131142642,10,3.200104761,2228,53576
ICL_L,4997,122152,0.141856048,0.004892928,2.684581505,0.172282607,14,3.311656712,3514,114687
ICL_R,5121,130593,0.150375594,0.004980755,2.763854112,0.179618826,13,3.492582157,3792,122497
IPS_L,4469,126502,0.104045786,0.006335398,3.958008569,0.154695377,11,3.176216747,3472,117017
IPS_R,4445,119387,0.107515894,0.006043816,4.022724417,0.160120955,9,3.181760656,3331,109119
LAL_L,3098,90474,0.177376926,0.009429772,4.778124102,0.244106478,12,3.071865252,2289,85811
LAL_R,2757,85096,0.174038733,0.011199359,5.142920936,0.254154473,10,2.85166626,1910,80459
LA_L,8800,39574,0.169202001,0.000511086,4.274776368,0.133034633,31,8.099277177,4037,23674
LA_R,11381,70833,0.16627843,0.000546906,3.86446995,0.131366324,26,8.020206848,7554,53063
LH_L,4749,199215,0.171101574,0.008835053,3.024235123,0.20729013,9,2.912245567,3679,192617
LH_R,4492,216557,0.188680117,0.010734688,3.069182709,0.230168112,9,2.825864968,3486,209653
LOP_L,14185,447405,0.266805244,0.002223682,2.659087404,0.07305292,10,2.739844862,11786,443175
LOP_R,14694,613882,0.295330373,0.002843377,3.096863892,0.085939226,8,2.61813181,12090,609436
LO_L,23282,1380744,0.214807379,0.002547365,2.746987132,0.076475362,9,2.730747349,22702,1377846
LO_R,23059,1375872,0.21452577,0.002587712,2.818075373,0.078874951,8,2.730008398,22315,1372715
MB_CA_L,3837,48438,0.231677608,0.003290908,5.434183905,0.028537117,13,2.590601519,3069,45357
MB_CA_R,3715,45331,0.225055701,0.003285448,5.082151287,0.025663924,10,2.500276444,3072,42270
MB_ML_L,4359,168097,0.27857725,0.00884883,1.935912003,0.11682077,9,2.487855116,3657,165021
MB_ML_R,4202,139808,0.246638247,0.007919966,1.791185054,0.101235153,11,2.584668497,3576,137480
MB_PED_L,4143,68149,0.363556325,0.003971316,1.959148337,0.047417949,14,3.135401787,3481,65107
MB_PED_R,4285,65532,0.304095709,0.003569876,1.896874809,0.045782626,10,3.083113533,3517,61707
MB_VL_L,3120,48848,0.270553554,0.005019689,1.925380773,0.086216344,11,3.268550456,2436,46056
MB_VL_R,2824,54638,0.287528826,0.006853607,2.085855998,0.105921498,18,3.040720323,2107,52641
ME_L,36841,2426813,0.288314757,0.001788073,3.177996409,0.08753161,8,2.962990386,36438,2425046
ME_R,36693,2598890,0.294802781,0.001930338,3.394349126,0.088563886,7,2.913917856,36396,2597872
NO,1232,21576,0.499536522,0.014226634,4.815721172,0.50131466,12,3.825317018,789,20109
OCG,347,2690,0.292193309,0.022405091,3.728624535,0.14596666,7,3.220123457,325,2575
PB,1939,15261,0.16407837,0.004061172,4.148220955,0.26942684,16,5.510805574,568,8449
PLP_L,9371,252745,0.154337376,0.002878439,2.952869493,0.155898334,14,3.505501642,7230,240512
PLP_R,8922,228302,0.147786704,0.002868362,2.911871118,0.15555492,14,3.490909959,6741,215049
PRW,2348,86874,0.217372286,0.015764443,4.055678339,0.230701517,8,2.6822876,1858,81982
PVLP_L,6344,270866,0.24923763,0.006731264,3.306487341,0.248519562,12,2.933974088,4956,265782
PVLP_R,5554,218402,0.24765341,0.007081464,3.226156354,0.273868736,12,3.003445867,4326,213888
SAD,7697,171786,0.12297859,0.002900022,3.070145413,0.14716585,11,3.606441412,5572,156924
SCL_L,5869,110570,0.121551958,0.003210577,2.217210817,0.126868832,12,3.53261392,4453,103165
SCL_R,6436,123841,0.130312255,0.002990197,2.266963284,0.123526031,14,3.68826129,4959,114741
SIP_L,5257,89219,0.149743889,0.00322897,2.20849819,0.125873503,10,3.474277723,4093,83892
SIP_R,4929,92175,0.132205045,0.003794754,2.487529156,0.156866412,12,3.470119931,3516,84466
SLP_L,6504,250796,0.156246511,0.005929613,2.172893507,0.152934724,10,3.078363829,5457,244307
SLP_R,6639,296717,0.153755936,0.006732905,2.436759606,0.157938362,11,2.936807631,5406,286970
SMP_L,7111,288021,0.184868464,0.005696707,2.835140493,0.175747502,11,3.095723598,6008,280488
SMP_R,7099,305052,0.183509697,0.006053976,2.944852025,0.174502139,12,3.043169474,6026,297187
SPS_L,5403,158658,0.123775668,0.005435912,3.587912365,0.158190671,11,3.174257158,4248,148754
SPS_R,6050,197289,0.133823984,0.005390933,3.709669571,0.170668377,10,3.115310946,4860,188283
VES_L,2652,65694,0.146558285,0.009344207,4.015054647,0.211864556,11,3.018619883,1898,61083
VES_R,2705,66708,0.147118786,0.009120192,4.229882473,0.213390737,11,3.075136429,1974,62698
WED_L,3456,61304,0.13160642,0.005134132,3.198665666,0.211772517,11,3.539456254,2327,54745
WED_R,3502,78387,0.129154069,0.006393458,3.249008126,0.190176864,10,3.283987662,2485,70867